PLAYER_ID,PLAYER_NAME,PTS,REB,AST,STL,BLK,TOV
1642357,"David Jones Garcia",2.9,1.2,1.6,0.5,0.1,0.5
1631223,"David Roddy",8,4,0.8,0.8,0.2,0.4
1630558,"Davion Mitchell",9.3,2.7,6.5,1,0.2,1.5
1630549,"Day'Ron Sharpe",8.7,6.7,2.3,1.1,0.4,1.7
1628368,"De'Aaron Fox",18.6,3.8,6.2,1.2,0.3,2.3
1629631,"De'Andre Hunter",13.7,4.1,2,0.7,0.1,1.7
1629001,"De'Anthony Melton",12.3,3.2,2.6,1.6,0.4,1.9
201599,"DeAndre Jordan",4.4,6.3,0.9,0.3,0.8,0.8
1630610,"DeJon Jarreau",8,4.6,3.3,0.9,0.7,2.4
201942,"DeMar DeRozan",18.4,2.9,4.1,1,0.3,1.2
1629731,"Dean Wade",5.8,4.2,1.5,0.7,0.4,0.3
1629028,"Deandre Ayton",12.5,8,0.8,0.6,1,1.2
1627749,"Dejounte Murray",16.7,5.4,6.4,1.6,0.2,3.4
1630166,"Deni Avdija",24.2,6.9,6.7,0.8,0.6,3.8
203471,"Dennis Schröder",10.8,2.7,4.9,0.8,0.2,1.8
1641726,"Dereck Lively II",4.3,5.3,1.9,0.6,1.6,1.4
1642852,"Derik Queen",11.7,7.1,3.7,1,0.9,2.3
1627884,"Derrick Jones Jr.",10.1,3.5,1.4,0.9,1,0.8
1628401,"Derrick White",16.5,4.4,5.4,1.1,1.3,1.7
1630217,"Desmond Bane",20.1,4.1,4.1,1,0.5,2
1626164,"Devin Booker",26.1,3.9,6,0.8,0.3,3.1
1642269,"Devin Carter",8.9,3.3,2.7,0.9,0.2,1.4
1630170,"Devin Vassell",13.9,4,2.5,0.9,0.4,0.9
1628415,"Dillon Brooks",20.2,3.6,1.8,1,0.2,1.8
1641794,"Dillon Jones",1.3,1,0.6,0.4,0,0
1627734,"Domantas Sabonis",15.8,11.4,4.1,0.9,0.2,2.7
1631230,"Dominick Barlow",7.7,4.8,1.2,0.9,0.7,0.8
1642270,"Donovan Clingan",12.1,11.6,2.1,0.6,1.7,1.2
