Josh,,,,,,,,172
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jamal Murray,21,6,6,1,0,4,35.2
G,Russell Westbrook,18,2,2,0,0,3,20.4
F/C,Nikola Jokic,42,22,6,1,2,7,76.4
F/C,Chet Holmgren,12,6,2,1,4,2,30.2
F/C,Michael Porter Jr.,2,4,0,1,1,1,9.8
,Totals,95,48,24,8,14,-17,172
,,,,,,,,
Andy,,,,,,,,193.1
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Shai Gilgeous-Alexander,33,10,8,2,1,1,62
G,Mikal Bridges,8,6,7,3,2,1,34.7
F/C,Jalen Williams,16,7,4,2,2,1,37.4
F/C,Josh Hart,14,11,3,2,0,1,34.7
F/C,Isaiah Hartenstein,12,9,1,0,1,2,24.3
,Totals,83,51.6,34.5,18,12,-6,193.1
,,,,,,,,
Jon,,,,,,,,195.7
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Derrick White,19,11,2,0,2,2,37.2
G,Christian Braun,11,13,3,1,0,1,32.1
F/C,Jaylen Brown,23,7,5,0,0,2,36.9
F/C,Jayson Tatum,23,16,6,2,1,5,52.2
F/C,OG Anunoby,29,4,3,1,0,3,37.3
,Totals,105,61.2,28.5,8,6,-13,195.7
,,,,,,,,
Mark,,,,,,,,144.2
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jalen Brunson,29,4,5,2,0,4,41.3
G,Jrue Holiday,16,6,3,1,0,1,28.7
F/C,Karl-Anthony Towns,14,13,0,1,0,2,29.6
F/C,Kristaps Porzingis,0,4,1,0,0,1,5.3
F/C,Aaron Gordon,22,14,1,0,0,1,39.3
,Totals,81,49.2,15,8,0,-9,144.2
