Jon,,,,,,,,158.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Fred VanVleet,17,7,3,2,0,3,30.9
G,Andrew Nembhard,21,0,6,0,0,0,30
F/C,Alperun Sengun,21,14,5,1,1,3,46.3
F/C,Myles Turner,11,7,1,3,2,2,28.9
F/C,Aaron Nesmith,16,6,0,0,1,3,22.2
,Totals,86,40.8,22.5,12,8,-11,158.3
,,,,,,,,
Andy,,,,,,,,153.9
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Steph Curry,22,10,7,2,2,2,50.5
G,Brandin Podziemski,9,3,2,0,1,2,15.6
F/C,Pascal Siakam,15,6,4,1,0,2,28.2
F/C,Amen Thompson,24,9,3,1,1,0,43.3
F/C,Deandre Hunter,11,4,1,0,0,1,16.3
,Totals,81,38.4,25.5,8,8,-7,153.9
,,,,,,,,
Josh,,,,,,,,138.8
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Donovan Mitchell,33,5,4,1,0,0,47
G,Jalen Green,8,4,1,0,1,0,16.3
F/C,Evan Mobley,20,10,2,2,0,4,35
F/C,Jarrett Allen,12,5,1,2,0,1,22.5
F/C,Obi Toppin,7,5,2,1,1,2,18
,Totals,80,34.8,15,12,4,-7,138.8
,,,,,,,,
Mark,,,,,,,,192.4
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Tyrese Haliburton,22,3,13,1,3,1,52.1
G,Ty Jerome,21,3,8,1,0,1,37.6
F/C,Jimmy Butler,20,8,7,1,0,1,41.1
F/C,Draymond Green,16,6,5,1,2,1,35.7
F/C,Max Strus,7,7,3,2,1,0,25.9
,Totals,86,32.4,54,12,12,-4,192.4
