Jon,,,,,,,,184.9
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jamal Murray,27,4,8,4,1,2,51.8
G,Andrew Nembhard,10,4,4,1,1,3,21.8
F/C,Nikola Jokic,20,16,6,2,2,8,48.2
F/C,Chet Holmgren,18,16,0,1,3,3,42.2
F/C,Aaron Nesmith,7,7,1,0,2,0,20.9
,Totals,82,56.4,28.5,16,18,-16,184.9
,,,,,,,,
Josh,,,,,,,,193.6
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Anthony Edwards,20,9,5,3,1,1,45.3
G,Russell Westbrook,8,1,4,2,0,0,19.2
F/C,Jalen Williams,32,3,5,0,0,3,40.1
F/C,Jarrett Allen,19,12,2,0,2,3,37.4
F/C,Evan Mobley,18,13,4,3,3,0,51.6
,Totals,97,45.6,30,16,12,-7,193.6
,,,,,,,,
Andy,,,,,,,,147.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Shai Gilgeous-Alexander,18,13,7,2,0,1,47.1
G,Tyrese Haliburton,4,0,5,1,0,3,10.5
F/C,Julius Randle,24,7,11,0,0,2,46.9
F/C,Rudy Gobert,5,9,0,0,0,3,12.8
F/C,Isaiah Hartenstein,10,10,4,1,1,2,30
,Totals,61,46.8,40.5,8,2,-11,147.3
,,,,,,,,
Mark,,,,,,,,156.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Donovan Mitchell,43,9,5,1,0,2,61.3
G,Darius Garland,10,1,3,0,0,4,11.7
F/C,Jimmy Butler,17,7,4,1,0,2,31.4
F/C,Pascal Siakam,18,4,3,0,0,1,26.3
F/C,Myles Turner,15,3,0,1,3,1,25.6
,Totals,103,28.8,22.5,6,6,-10,156.3
