Mark,,,,,,,,159.6
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Anthony Edwards,23,14,2,3,1,3,47.8
G,Ty Jerome,2,2,3,0,0,2,6.9
F/C,Pascal Siakam,12,6,4,0,0,2,23.2
F/C,Myles Turner,23,8,1,1,5,1,45.1
F/C,Max Strus,23,8,4,0,0,2,36.6
,Totals,83,45.6,21,8,12,-10,159.6
,,,,,,,,
Josh,,,,,,,,219.6
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Donovan Mitchell,48,5,9,4,1,5,72.5
G,Andrew Nembhard,13,7,13,2,0,8,36.9
F/C,Jarrett Allen,22,12,3,0,3,4,42.9
F/C,Rudy Gobert,9,11,0,0,3,1,27.2
F/C,Buddy Hield,24,8,3,1,0,0,40.1
,Totals,116,51.6,42,14,14,-18,219.6
,,,,,,,,
Andy,,,,,,,,137.4
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Tyrese Haliburton,19,9,4,0,1,0,37.8
G,Brandin Podziemski,3,8,3,0,0,2,15.1
F/C,Julius Randle,18,3,6,0,0,3,27.6
F/C,Jaden McDaniels,12,4,1,0,1,0,20.3
F/C,Draymond Green,18,8,6,2,0,4,36.6
,Totals,70,38.4,30,4,4,-9,137.4
,,,,,,,,
Jon,,,,,,,,141.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Steph Curry,13,1,1,0,0,1,14.7
G,Donte DiVincenzo ,7,3,4,1,0,4,14.6
F/C,Jimmy Butler,20,11,8,2,0,1,48.2
F/C,Naz Reid,19,5,1,1,1,4,26.5
F/C,Aaron Nesmith,23,4,1,1,3,0,37.3
,Totals,82,28.8,22.5,10,8,-10,141.3
