Andy,,,,,,,,155.9
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Mikal Bridges,25,4,3,0,1,4,32.3
G,Tim Hardaway Jr,7,5,1,1,0,4,12.5
F/C,Nikola Jokic,25,7,8,3,1,4,49.4
F/C,Ivica Zubac,10,6,0,1,3,1,24.2
F/C,OG Anunoby,22,5,1,3,2,2,37.5
,Totals,89,32.4,19.5,16,14,-15,155.9
,,,,,,,,
Mark,,,,,,,,164.4
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Cade Cunningham,23,7,8,3,1,3,48.4
G,Russell Westbrook,14,10,6,0,0,2,33
F/C,Karl-Anthony Towns,10,15,2,2,0,3,32
F/C,Josh Hart,13,10,4,0,1,3,30
F/C,Tobias Harris,14,5,0,1,0,1,21
,Totals,74,56.4,30,12,4,-12,164.4
,,,,,,,,
Josh,,,,,,,,176.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jalen Brunson,40,4,7,0,0,2,53.3
G,James Harden,28,6,8,2,1,4,49.2
F/C,Jalen Duren,21,6,3,0,0,2,30.7
F/C,Aaron Gordon,19,5,1,1,1,2,28.5
F/C,Michael Porter Jr.,5,3,0,2,1,0,14.6
,Totals,113,28.8,28.5,10,6,-10,176.3
,,,,,,,,
Jon,,,,,,,,178
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jamal Murray,21,8,8,0,3,3,45.6
G,Christian Braun,14,3,1,0,0,0,19.1
F/C,Kawhi Leonard,27,10,5,0,0,1,45.5
F/C,Norman Powell,24,3,1,2,0,1,32.1
F/C,Ausar Thompson,17,6,1,3,2,0,35.7
,Totals,103,36,24,10,10,-5,178
