Andy,,,,,,,,157.4
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Brandin Podziemski,10,7,3,1,0,2,22.9
G,Christian Braun,21,5,4,1,0,0,35
F/C,Nikola Jokic,16,10,8,3,1,5,43
F/C,Ivica Zubac,10,14,2,1,0,3,28.8
F/C,Draymond Green,8,6,7,0,3,4,27.7
,Totals,65,50.4,36,12,8,-14,157.4
,,,,,,,,
Mark,,,,,,,,167.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Steph Curry,29,7,2,2,1,5,41.4
G,Jalen Green,12,5,3,0,1,1,23.5
F/C,Jimmy Butler,27,9,8,0,1,1,50.8
F/C,Amen Thompson,14,7,2,3,0,2,29.4
F/C,Michael Porter Jr.,15,6,0,0,0,0,22.2
,Totals,97,40.8,22.5,10,6,-9,167.3
,,,,,,,,
Josh,,,,,,,,164.6
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,James Harden,7,5,13,2,1,2,36.5
G,Fred VanVleet,29,8,8,0,0,2,48.6
F/C,Kawhi Leonard,22,5,2,0,2,1,34
F/C,Aaron Gordon,22,4,5,1,1,1,37.3
F/C,Dillon Brooks,3,1,2,1,0,1,8.2
,Totals,83,27.6,45,8,8,-7,164.6
,,,,,,,,
Jon,,,,,,,,127.3
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jamal Murray,16,5,2,0,1,4,23
G,Russell Westbrook,16,5,5,5,0,2,37.5
F/C,Alperun Sengun,21,14,6,3,0,2,50.8
F/C,Norman Powell,9,2,2,0,1,3,13.4
F/C,Buddy Hield,0,3,0,0,0,1,2.6
,Totals,62,34.8,22.5,16,4,-12,127.3
